PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5
J0340+4130,GBT,4,2005,nan,2012,1.09127935567401,2020,0.545639677837006,2025,0.171478007236884,,
J0605+3757,GBT,4,2005,nan,2017,2.08625188944031,2020,1.04312594472016,2025,0.327822857396998,,
J0610-2100,GBT,4,2005,nan,2017,0.998332198539643,2020,0.499166099269821,2025,0.156872770547613,,
J0613-0200,GBT,4,2005,0.821076499618482,2010,0.269767197350402,2020,0.134883598675201,2025,0.0423898254640354,,
J0636+5128,GBT,4,2005,nan,2014,0.321783676628155,2020,0.160891838314078,2025,0.0505634266264239,,
J0645+5158,GBT,4,2005,nan,2011,0.221655862461827,2020,0.110827931230913,2025,0.0348298585414467,,
J0740+6620,GBT,4,2005,nan,2014,0.279547032686978,2020,0.139773516343489,2025,0.0439265783274532,,
J0931-1902,GBT,4,2005,nan,2013,0.993916298155504,2020,0.496958149077752,2025,0.156178878746131,,
J1012+5307,GBT,4,2005,0.678583677218374,2010,0.253219705178827,2020,0.126609852589413,2025,0.0397896379248904,,
J1012-4235,GBT,4,2005,nan,2017,3.25667782445205,2020,1.62833891222603,2025,0.511737549735533,,
J1024-0719,GBT,4,2005,nan,2010,0.393545850186385,2020,0.196772925093193,2025,0.0618397643054707,,
J1125+7819,GBT,4,2005,nan,2014,0.590721842025848,2020,0.295360921012924,2025,0.0928229822869969,,
J1455-3330,GBT,4,2005,2.29288200963778,2010,0.768470514428468,2020,0.384235257214234,2025,0.120753491532063,,
J1600-3053,GBT,5,2005,nan,2008,0.484964503899298,2010,0.158055282089889,2020,0.0790276410449445,2025,0.0496719830080503
J1614-2230,GBT,5,2005,nan,2009,0.865524205782314,2010,0.258466180369832,2020,0.129233090184916,2025,0.0812280839319528
J1630+3734,GBT,4,2005,nan,2017,0.553046736545811,2020,0.276523368272905,2025,0.086902910605474,,
J1643-1224,GBT,4,2005,1.02700930420005,2010,0.330839779057744,2020,0.165419889528872,2025,0.0519864558351088,,
J1705-1903,GBT,4,2005,nan,2017,0.143116630395301,2020,0.0715583151976505,2025,0.0224886088562414,,
J1719-1438,GBT,4,2005,nan,2017,1.27286698767373,2020,0.636433493836867,2025,0.20001175078502,,
J1730-2304,GBT,4,2005,nan,2017,0.342039748636889,2020,0.171019874318445,2025,0.0537463612658859,,
J1744-1134,GBT,4,2005,0.214118321915534,2010,0.0942142851557724,2020,0.0471071425778862,2025,0.0148043466485088,,
J1747-4036,GBT,4,2005,nan,2012,0.70612366518401,2020,0.353061832592005,2025,0.110956629335092,,
J1751-2857,GBT,4,2005,nan,2017,2.49462457543929,2020,1.24731228771965,2025,0.391992434179497,,
J1802-2124,GBT,4,2005,nan,2017,0.683198750799047,2020,0.341599375399524,2025,0.107354326575152,,
J1811-2405,GBT,4,2005,nan,2017,0.375425020363376,2020,0.187712510181688,2025,0.0589923506057869,,
J1832-0836,GBT,4,2005,nan,2013,0.360113000024681,2020,0.180056500012341,2025,0.0565862987357519,,
J1843-1113,GBT,4,2005,nan,2017,0.235529762865598,2020,0.117764881432799,2025,0.0370099316652275,,
J1909-3744,GBT,4,2005,0.0623704166466577,2010,0.0360662913730063,2020,0.0180331456865031,2025,0.00566727093380058,,
J1911-1114,GBT,4,2005,nan,2017,1.49834990398467,2020,0.749174951992335,2025,0.235442972821727,,
J1918-0642,GBT,4,2005,0.61231729039296,2010,0.30126870246347,2020,0.150634351231735,2025,0.0473398094380426,,
J2010-1323,GBT,5,2005,nan,2009,1.32281137332279,2010,0.369582640993735,2020,0.184791320496867,2025,0.116148618513557
J2124-3358,GBT,4,2005,nan,2017,0.836005580611304,2020,0.418002790305652,2025,0.1313656033689,,
J2145-0750,GBT,4,2005,0.67732382569662,2010,0.224676961422265,2020,0.112338480711133,2025,0.035304578444016,,
J2302+4442,GBT,4,2005,nan,2012,1.15349728976964,2020,0.57674864488482,2025,0.181254612372537,,
NEWPSR,GBT,4,2005,nan,2019,0.372503830678555,2020,0.186251915339278,2025,0.0585333299312827,,
NEWPSR,GBT,4,2005,nan,2019,0.372503830678555,2020,0.186251915339278,2025,0.0585333299312827,,
NEWPSR,GBT,3,2005,nan,2020,0.186251915339278,2025,0.0585333299312827,,,,
NEWPSR,GBT,3,2005,nan,2020,0.186251915339278,2025,0.0585333299312827,,,,
