PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5
J1600-3053,GBT,5,2005,nan,2008,0.479430902308533,2010,0.140160237737369,2021,0.0288924296580799,2026,0.0143386532365882
J1640+2224,AO,5,2005,0.25715831,2012,0.122896599,2015,0.061448299,2021,0.0148883932,2026,0.0173802036
J1713+0747,AO,5,2005,0.083974908,2012,0.04869103,2015,0.024345515,2021,0.0063011028,2026,0.0068859516
J2043+1711,AO,5,2005,nan,2012,0.110271359,2015,0.05513568,2021,0.01136161,2026,0.0155947252
J1705-1903,GBT,4,2005,nan,2017,0.121527236700554,2021,0.0249930939456801,2026,0.0122127802376466,,
J1744-1134,GBT,4,2005,0.208385918066234,2010,0.0803390726595486,2021,0.0183176435866399,2026,0.0134587586083842,,
J1909-3744,GBT,4,2005,0.0588304743126195,2010,0.0295251284260153,2021,0.00653510227538272,2026,0.00443006710578536,,
J225457+573803,GBT,4,2005,nan,2019,0.029513813,2021,0.0084746108,2026,0.0077787688,,
J125018-352913,GBT,4,2005,nan,2019,0.056624575,2021,0.0171996052,2026,0.0137211204,,
J084223-162450,GBT,4,2005,nan,2020,0.061740117,2021,0.0184531504,2026,0.0167475776,,
J0340+4130,GBT,4,2005,nan,2012,1.0770909586985,2021,1.07801680622327,2026,0.416153962597458,,
J0605+3757,GBT,4,2005,nan,2017,2.08494941888376,2021,2.08521994341464,2026,0.798220270944046,,
J0610-2100,GBT,4,2005,nan,2017,0.996646680528534,2021,0.998249985212169,2026,0.388643131668686,,
J0613-0200,GBT,4,2005,0.821076702682463,2010,0.269767815405133,2021,0.271018463744861,2026,0.109021376170644,,
J0636+5128,GBT,4,2005,nan,2014,0.313521786876071,2021,0.31560748905499,2026,0.129587437794475,,
J0645+5158,GBT,4,2005,nan,2011,0.22165641910325,2021,0.222469806705664,2026,0.0885858294148266,,
J0740+6620,GBT,4,2005,nan,2014,0.270038049097254,2021,0.272498720063797,2026,0.114577863874712,,
J0931-1902,GBT,4,2005,nan,2013,0.911593874549635,2021,0.914628982972707,2026,0.36287572420129,,
J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2021,0.258746081262579,2026,0.112294525309399,,
J1012-4235,GBT,4,2005,nan,2017,3.25574462894895,2021,3.25581890245481,2026,1.24477053297904,,
J1024-0719,GBT,4,2005,nan,2010,0.39354609906852,2021,0.395281833613908,2026,0.158634433718249,,
J1125+7819,GBT,4,2005,nan,2014,0.58865192257691,2021,0.592140926858272,2026,0.241371548938587,,
J1455-3330,GBT,4,2005,2.29786541597962,2010,0.783214205297989,2021,0.822133232034302,2026,0.453261440702513,,
J1630+3734,GBT,4,2005,nan,2017,0.548934264333629,2021,0.550779411665899,2026,0.218594532412771,,
J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2021,0.368400934677841,2026,0.254292642258665,,
J1719-1438,GBT,4,2005,nan,2017,1.27452493181737,2021,1.27874869905644,2026,0.507254640191702,,
J1730-2304,GBT,4,2005,nan,2017,0.374439165424044,2021,0.412285322997706,2026,0.275103561177067,,
J1747-4036,GBT,4,2005,nan,2012,0.701638942897941,2021,0.701815347401993,2026,0.269034727553659,,
J1751-2857,GBT,4,2005,nan,2017,2.4939775700816,2021,2.49464575997366,2026,0.956483722087744,,
J1802-2124,GBT,4,2005,nan,2017,0.75670048380844,2021,0.82764226045948,2026,0.540392140832899,,
J1811-2405,GBT,4,2005,nan,2017,0.368007149650836,2021,0.369426012177573,2026,0.147393727809451,,
J1832-0836,GBT,4,2005,nan,2013,0.352473060959627,2021,0.354053872479489,2026,0.142199430409222,,
J1843-1113,GBT,4,2005,nan,2017,0.221951706289253,2021,0.222737178427619,2026,0.08856873398442,,
J1911-1114,GBT,4,2005,nan,2017,1.49704356783263,2021,1.49792771962041,2026,0.576473584955616,,
J1918-0642,GBT,4,2005,0.612316379039227,2010,0.301266850167016,2021,0.305551303278334,2026,0.13446006628931,,
J2124-3358,GBT,4,2005,nan,2017,0.83606560168468,2021,0.840039909663517,2026,0.338332252806872,,
J2145-0750,GBT,4,2005,0.677322757167559,2010,0.22467374015381,2021,0.241656454570246,2026,0.148514637874475,,
J2302+4442,GBT,4,2005,nan,2012,1.06104288972659,2021,1.06470138075086,2026,0.422953950200107,,
J112828-132603,GBT,4,2005,nan,2020,0.109308191,2021,0.153098198,2026,0.101339364,,
J011216-224403,GBT,3,2005,nan,2021,0.384414126,2026,0.11337233,,,,
J152159-261119,GBT,3,2005,nan,2021,0.175554076,2026,0.137152918,,,,
J211919+415859,GBT,3,2005,nan,2022,0.395371888,2026,0.142399342,,,,
J213547+570028,GBT,3,2005,nan,2022,0.259417474,2026,0.231227046,,,,
J092405-360439,GBT,3,2005,nan,2023,0.29347293,2026,0.241985308,,,,
J064204-022860,GBT,3,2005,nan,2023,0.949838552,2026,0.246325588,,,,
J213013+602743,GBT,3,2005,nan,2024,0.277130798,2026,0.257536326,,,,
J070917-004613,GBT,3,2005,nan,2024,0.627042102,2026,0.300123888,,,,
J234013+641040,GBT,3,2005,nan,2025,1.210272052,2026,0.320162246,,,,
J153945-021158,GBT,3,2005,nan,2025,0.406112456,2026,0.333598632,,,,
J2010-1323,GBT,5,2005,nan,2009,1.32281317868958,2010,0.369589102716257,2021,0.377531298264545,2026,0.175943964111281
J1614-2230,GBT,5,2005,nan,2009,0.864004082335676,2010,0.253329172999438,2021,0.267857375090155,2026,0.153013615686397
J2317+1439,AO,5,2005,0.348763865718504,2013,0.145802214872878,2015,0.072901107436439,2021,0.0758696705386271,2026,0.10309773484863
J2214+3000,AO,5,2005,nan,2010,5.1993590168702,2012,0.850399148204413,2021,0.855896310525514,2026,1.20264600882121
J1903+0327,AO,5,2005,nan,2010,1.484199460154,2012,0.500836408994467,2021,0.501387248547172,2026,0.708289642130213
J1853+1303,AO,5,2005,nan,2009,0.386118039765167,2012,0.205365121134903,2021,0.213675618384484,2026,0.290430139547373
B1953+29,AO,5,2005,nan,2007,1.61300971686345,2012,0.567411278134336,2021,0.651954206053687,2026,0.80244072498103
J2017+0603,AO,5,2005,nan,2011,0.777619469398805,2012,0.44786780936958,2021,0.453932173947999,2026,0.633380730160789
J1923+2515,AO,5,2005,nan,2011,0.617304317302927,2012,0.375766219348875,2021,0.422413181576784,2026,0.531413683684843
J1944+0907,AO,5,2005,nan,2008,0.445288512488311,2012,0.299334197754577,2021,0.319202770294259,2026,0.423322482146593
J1738+0333,AO,5,2005,nan,2010,1.06767843917669,2012,0.693598726159958,2021,0.697222579108284,2026,0.980896725380115
J1741+1351,AO,5,2005,nan,2010,0.110516056174874,2012,0.101378816593619,2021,0.117288686318639,2026,0.14337129736403
J0030+0451,AO,5,2005,0.485961294949318,2014,0.324058868505362,2015,0.162029434252681,2021,0.194697033460033,2026,0.229144223423781
J0023+0923,AO,4,2005,nan,2012,0.181260030147757,2021,0.185557997376985,2026,0.256340392951114,,
J0406+3039,AO,4,2005,nan,2017,0.440415998370309,2021,0.441534588923326,2026,0.622842277981378,,
J0509+0856,AO,4,2005,nan,2017,2.89533753581756,2021,2.89597772651428,2026,4.0946256108011,,
J0557+1551,AO,4,2005,nan,2016,2.17094235576861,2021,2.17115619141261,2026,3.07017612265817,,
J0621+2514,AO,4,2005,nan,2016,4.03323726075321,2021,4.03337619155968,2026,5.70385883442571,,
