PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5,,,,,,
J1600-3053,GBT,5,2005,nan,2008,0.479430902308533,2010,0.140160237737369,2021,0.182744617587355,2026,0.182744617587355,,,,,,
J1614-2230,GBT,5,2005,nan,2009,0.864004082335676,2010,0.253329172999438,2021,0.338839579489045,2026,0.338839579489045,,,,,,
J2010-1323,GBT,5,2005,nan,2009,1.32281317868958,2010,0.369589102716257,2021,0.477577092304649,2026,0.477577092304649,,,,,,
J0340+4130,GBT,4,2005,nan,2012,1.0770909586985,2021,1.36369125987244,2026,1.36369125987244,,,,,,,,
J0605+3757,GBT,4,2005,nan,2017,2.08494941888376,2021,2.63780322841952,2026,2.63780322841952,,,,,,,,
J0610-2100,GBT,4,2005,nan,2017,0.996646680528534,2021,1.26278623129339,2026,1.26278623129339,,,,,,,,
J0613-0200,GBT,4,2005,0.821076702682463,2010,0.269767815405133,2021,0.34283835663725,2026,0.34283835663725,,,,,,,,
J0636+5128,GBT,4,2005,nan,2014,0.313521786876071,2021,0.399243473654563,2026,0.399243473654563,,,,,,,,
J0645+5158,GBT,4,2005,nan,2011,0.22165641910325,2021,0.281424305482665,2026,0.281424305482665,,,,,,,,
J0740+6620,GBT,4,2005,nan,2014,0.270038049097254,2021,0.344710880880704,2026,0.344710880880704,,,,,,,,
J0931-1902,GBT,4,2005,nan,2013,0.911593874549635,2021,1.15700566346047,2026,1.15700566346047,,,,,,,,
J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2021,0.327313792797162,2026,0.327313792797162,,,,,,,,
J1012-4235,GBT,4,2005,nan,2017,3.25574462894895,2021,4.11861091160534,2026,4.11861091160534,,,,,,,,
J1024-0719,GBT,4,2005,nan,2010,0.39354609906852,2021,0.500031519521594,2026,0.500031519521594,,,,,,,,
J1125+7819,GBT,4,2005,nan,2014,0.58865192257691,2021,0.749058272475714,2026,0.749058272475714,,,,,,,,
J1455-3330,GBT,4,2005,2.29786541597962,2010,0.783214205297989,2021,1.03999853852339,2026,1.03999853852339,,,,,,,,
J1630+3734,GBT,4,2005,nan,2017,0.548934264333629,2021,0.696735955757362,2026,0.696735955757362,,,,,,,,
J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2021,0.466027182367469,2026,0.466027182367469,,,,,,,,
J1705-1903,GBT,4,2005,nan,2017,0.121527236700554,2021,0.158081319206426,2026,0.158081319206426,,,,,,,,
J1719-1438,GBT,4,2005,nan,2017,1.27452493181737,2021,1.6176171043064,2026,1.6176171043064,,,,,,,,
J1730-2304,GBT,4,2005,nan,2017,0.374439165424044,2021,0.521540933592098,2026,0.521540933592098,,,,,,,,
J1744-1134,GBT,4,2005,0.208385918066234,2010,0.0803390726595486,2021,0.115859095685497,2026,0.115859095685497,,,,,,,,
J1747-4036,GBT,4,2005,nan,2012,0.701638942897941,2021,0.887796414463521,2026,0.887796414463521,,,,,,,,
J1751-2857,GBT,4,2005,nan,2017,2.4939775700816,2021,3.15572688636668,2026,3.15572688636668,,,,,,,,
J1802-2124,GBT,4,2005,nan,2017,0.75670048380844,2021,1.04696745948124,2026,1.04696745948124,,,,,,,,
J1811-2405,GBT,4,2005,nan,2017,0.368007149650836,2021,0.46732390540463,2026,0.46732390540463,,,,,,,,
