PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5
J1600-3053,GBT,5,2005,nan,2008,0.479430902308533,2010,0.140160237737369,2021,gap,2026,gap
J1614-2230,GBT,5,2005,nan,2009,0.864004082335676,2010,0.253329172999438,2021,gap,2026,gap
J2010-1323,GBT,5,2005,nan,2009,1.32281317868958,2010,0.369589102716257,2021,gap,2026,gap
J0340+4130,GBT,4,2005,nan,2012,1.0770909586985,2021,gap,2026,gap,,
J0605+3757,GBT,4,2005,nan,2017,2.08494941888376,2021,gap,2026,gap,,
J0610-2100,GBT,4,2005,nan,2017,0.996646680528534,2021,gap,2026,gap,,
J0613-0200,GBT,4,2005,0.821076702682463,2010,0.269767815405133,2021,gap,2026,gap,,
J0636+5128,GBT,4,2005,nan,2014,0.313521786876071,2021,gap,2026,gap,,
J0645+5158,GBT,4,2005,nan,2011,0.22165641910325,2021,gap,2026,gap,,
J0740+6620,GBT,4,2005,nan,2014,0.270038049097254,2021,gap,2026,gap,,
J0931-1902,GBT,4,2005,nan,2013,0.911593874549635,2021,gap,2026,gap,,
J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2021,gap,2026,gap,,
J1012-4235,GBT,4,2005,nan,2017,3.25574462894895,2021,gap,2026,gap,,
J1024-0719,GBT,4,2005,nan,2010,0.39354609906852,2021,gap,2026,gap,,
J1125+7819,GBT,4,2005,nan,2014,0.58865192257691,2021,gap,2026,gap,,
J1455-3330,GBT,4,2005,2.29786541597962,2010,0.783214205297989,2021,gap,2026,gap,,
J1630+3734,GBT,4,2005,nan,2017,0.548934264333629,2021,gap,2026,gap,,
J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2021,gap,2026,gap,,
J1705-1903,GBT,4,2005,nan,2017,0.121527236700554,2021,gap,2026,gap,,
J1719-1438,GBT,4,2005,nan,2017,1.27452493181737,2021,gap,2026,gap,,
J1730-2304,GBT,4,2005,nan,2017,0.374439165424044,2021,gap,2026,gap,,
J1744-1134,GBT,4,2005,0.208385918066234,2010,0.0803390726595486,2021,gap,2026,gap,,
J1747-4036,GBT,4,2005,nan,2012,0.701638942897941,2021,gap,2026,gap,,
J1751-2857,GBT,4,2005,nan,2017,2.4939775700816,2021,gap,2026,gap,,
J1802-2124,GBT,4,2005,nan,2017,0.75670048380844,2021,gap,2026,gap,,
J1811-2405,GBT,4,2005,nan,2017,0.368007149650836,2021,gap,2026,gap,,
J1832-0836,GBT,4,2005,nan,2013,0.352473060959627,2021,gap,2026,gap,,
