PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5
J0340+4130,GBT,4,2005,nan,2012,1.0770909586985,2021,0.539008403111635,2026,0.539008403111635,,
J0605+3757,GBT,4,2005,nan,2017,2.08494941888376,2021,1.04260997170732,2026,1.04260997170732,,
J0610-2100,GBT,4,2005,nan,2017,0.996646680528534,2021,0.499124992606085,2026,0.499124992606085,,
J0613-0200,GBT,4,2005,0.821076702682463,2010,0.269767815405133,2021,0.135509231872431,2026,0.135509231872431,,
J0636+5128,GBT,4,2005,nan,2014,0.313521786876071,2021,0.157803744527495,2026,0.157803744527495,,
J0645+5158,GBT,4,2005,nan,2011,0.22165641910325,2021,0.111234903352832,2026,0.111234903352832,,
J0740+6620,GBT,4,2005,nan,2014,0.270038049097254,2021,0.136249360031899,2026,0.136249360031899,,
J0931-1902,GBT,4,2005,nan,2013,0.911593874549635,2021,0.457314491486353,2026,0.457314491486353,,
J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2021,0.129373040631289,2026,0.129373040631289,,
J1012-4235,GBT,4,2005,nan,2017,3.25574462894895,2021,1.62790945122741,2026,1.62790945122741,,
J1024-0719,GBT,4,2005,nan,2010,0.39354609906852,2021,0.197640916806954,2026,0.197640916806954,,
J1125+7819,GBT,4,2005,nan,2014,0.58865192257691,2021,0.296070463429136,2026,0.296070463429136,,
J1455-3330,GBT,4,2005,2.29786541597962,2010,0.783214205297989,2021,0.411066616017151,2026,0.411066616017151,,
J1600-3053,GBT,5,2005,nan,2008,0.479430902308533,2010,0.140160237737369,2021,0.0722310741451997,2026,0.0722310741451997
J1614-2230,GBT,5,2005,nan,2009,0.864004082335676,2010,0.253329172999438,2021,0.133928687545077,2026,0.133928687545077
J1630+3734,GBT,4,2005,nan,2017,0.548934264333629,2021,0.275389705832949,2026,0.275389705832949,,
J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2021,0.184200467338921,2026,0.184200467338921,,
J1705-1903,GBT,4,2005,nan,2017,0.121527236700554,2021,0.0624827348642002,2026,0.0624827348642002,,
J1719-1438,GBT,4,2005,nan,2017,1.27452493181737,2021,0.639374349528222,2026,0.639374349528222,,
J1730-2304,GBT,4,2005,nan,2017,0.374439165424044,2021,0.206142661498853,2026,0.206142661498853,,
J1744-1134,GBT,4,2005,0.208385918066234,2010,0.0803390726595486,2021,0.0457941089665998,2026,0.0457941089665998,,
J1747-4036,GBT,4,2005,nan,2012,0.701638942897941,2021,0.350907673700996,2026,0.350907673700996,,
J1751-2857,GBT,4,2005,nan,2017,2.4939775700816,2021,1.24732287998683,2026,1.24732287998683,,
J1802-2124,GBT,4,2005,nan,2017,0.75670048380844,2021,0.41382113022974,2026,0.41382113022974,,
J1811-2405,GBT,4,2005,nan,2017,0.368007149650836,2021,0.184713006088787,2026,0.184713006088787,,
J1832-0836,GBT,4,2005,nan,2013,0.352473060959627,2021,0.177026936239744,2026,0.177026936239744,,
J1843-1113,GBT,4,2005,nan,2017,0.221951706289253,2021,0.11136858921381,2026,0.11136858921381,,
J1909-3744,GBT,4,2005,0.0588304743126195,2010,0.0295251284260153,2021,0.0163377556884568,2026,0.0163377556884568,,
J1911-1114,GBT,4,2005,nan,2017,1.49704356783263,2021,0.748963859810205,2026,0.748963859810205,,
J1918-0642,GBT,4,2005,0.612316379039227,2010,0.301266850167016,2021,0.152775651639167,2026,0.152775651639167,,
J2010-1323,GBT,5,2005,nan,2009,1.32281317868958,2010,0.369589102716257,2021,0.188765649132272,2026,0.188765649132272
J2124-3358,GBT,4,2005,nan,2017,0.83606560168468,2021,0.420019954831759,2026,0.420019954831759,,
J2145-0750,GBT,4,2005,0.677322757167559,2010,0.22467374015381,2021,0.120828227285123,2026,0.120828227285123,,
J2302+4442,GBT,4,2005,nan,2012,1.06104288972659,2021,0.532350690375429,2026,0.532350690375429,,
J225457+573803,GBT,4,2005,nan,2019,0.0299426184726608,2021,0.0211865267851,2026,0.0211865267851,,
J125018-352913,GBT,4,2005,nan,2019,0.0588027945280452,2021,0.0429990130404,2026,0.0429990130404,,
J084223-162450,GBT,3,2005,nan,2020,0.0652251172842768,2021,0.0461328761456,2026,0.0461328761456,,
J112828-132603,GBT,3,2005,nan,2020,0.112030377212294,2021,0.0765490989382,2026,0.0765490989382,,
J011216-224403,GBT,3,2005,nan,2021,0.192207062939,2026,0.192207062939,,,,
J152159-261119,GBT,3,2005,nan,2021,0.0877770375329,2026,0.0877770375329,,,,
J211919+415859,GBT,3,2005,nan,2022,0.197685943874,2026,0.197685943874,,,,
J054815-044130,GBT,3,2005,nan,2022,0.174638320777,2026,0.174638320777,,,,
J213547+570028,GBT,3,2005,nan,2023,0.129708736993,2026,0.129708736993,,,,
J092405-360439,GBT,3,2005,nan,2023,0.146736464733,2026,0.146736464733,,,,
J064204-022860,GBT,3,2005,nan,2024,0.474919275784,2026,0.474919275784,,,,
J213013+602743,GBT,3,2005,nan,2024,0.138565399306,2026,0.138565399306,,,,
J183639+545452,GBT,2,2005,nan,2025,0.142396986619,2026,0.142396986619,,,,
J164620-003755,GBT,2,2005,nan,2025,0.257716492213,2026,0.257716492213,,,,
J070917-004613,GBT,2,2005,nan,2026,0.313521050775,,,,,,
J153945-021158,GBT,2,2005,nan,2026,0.203056227699,,,,,,
J093201-141805,GBT,2,2005,nan,2027,0.95415548556,,,,,,
J095313+623518,GBT,2,2005,nan,2027,0.971769363724,,,,,,
J183854-242122,GBT,2,2005,nan,2028,0.246562177994,,,,,,
J200543+511022,GBT,2,2005,nan,2028,0.741664627502,,,,,,
J0023+0923,AO,4,2005,nan,2012,0.181260030147757,2021,0.0927789986884927,2026,0.0927789986884927,,
